win	sum	count	div_perbp	chromo
31.0	618.4952212289968	434825	0.0014224003247950252	4
32.0	610.8807594005347	531171	0.0011500642154796377	4
33.0	625.1635477544568	638857	0.0009785657005471596	4
34.0	402.60670088902265	459995	0.0008752414719486574	4
0.0	807.4405436004182	532371	0.0015166876926061303	5
1.0	888.7816020476419	458805	0.001937166338744438	5
2.0	978.0683859265794	547470	0.0017865241674001851	5
3.0	794.5658494708749	585172	0.0013578329952063238	5
4.0	623.581874999922	363591	0.00171506411049757	5
5.0	707.2851124778357	314468	0.00224914812469897	5
6.0	1485.1980530256371	501861	0.002959381288894011	5
7.0	1273.7950959344819	460379	0.0027668401380916197	5
8.0	1196.3864027178413	307604	0.0038893720586138064	5
9.0	1053.0460534488307	316184	0.003330484950057026	5
10.0	1045.0607040020766	325152	0.0032140682019550135	5
11.0	665.7494156206859	290842	0.0022890415263981333	5
12.0	538.9039981936729	402408	0.0013391980233834141	5
13.0	496.6682568378636	253390	0.0019600941506683913	5
14.0	790.1280690957514	485015	0.0016290796554658132	5
15.0	939.859973785699	475775	0.0019754295071949955	5
16.0	662.2746276455156	325610	0.0020339505164015713	5
17.0	798.3011069216642	467324	0.0017082390523954776	5
18.0	469.7526436901432	368257	0.0012756109013274512	5
19.0	507.4337676706164	374521	0.0013548873565717714	5
20.0	597.2374397321396	489413	0.0012203138039490974	5
21.0	513.430690806768	561108	0.0009150300669510469	5
22.0	516.8753899807028	478370	0.001080492902942707	5
23.0	599.7744954915993	583011	0.001028753309099827	5
24.0	485.0882316732832	571360	0.0008490062861825875	5
25.0	678.0655424744134	583257	0.0011625502008109862	5
26.0	494.8735243292889	524787	0.0009429988249123718	5
27.0	692.9861529310976	611960	0.001132404328601702	5
28.0	596.3308120708456	651869	0.0009148016120890019	5
29.0	672.3772206736555	586576	0.0011462746867816882	5
30.0	777.5630195383283	629444	0.0012353172316176312	5
31.0	136.92539442237384	74019	0.0018498682017100182	5
0.0	448.54543153155055	359006	0.0012494092899047664	6
1.0	714.7279878634347	460490	0.0015521031680675687	6
2.0	666.1652149322754	423545	0.001572832201849332	6
3.0	637.9493513935804	451563	0.0014127582450147165	6
4.0	651.7687145816667	523493	0.001245038070388079	6
5.0	731.6154412883762	394136	0.0018562512464945506	6
6.0	631.2801596080322	496288	0.0012720036744955192	6
7.0	967.9533354579787	512790	0.0018876213176114564	6
8.0	1083.7130518075894	478428	0.0022651539036335445	6
9.0	896.0289424898011	499525	0.0017937619588405008	6
10.0	507.5963314343157	249468	0.0020347151996821865	6
11.0	881.1837058449368	343650	0.0025641894539355065	6
12.0	658.1220651729727	300089	0.0021930896006617127	6
13.0	884.6444443384224	445450	0.0019859567725635254	6
14.0	765.2259052911453	423855	0.0018053954897102671	6
15.0	753.4724294316636	332622	0.0022652513346431194	6
16.0	748.6411611023913	330869	0.002262651264102685	6
17.0	856.6935840358159	356770	0.0024012489391928016	6
18.0	1008.6032912139933	452032	0.0022312652449693678	6
19.0	271.25750780483145	212855	0.0012743769599249792	6
20.0	729.0561041969047	485599	0.001501354212419928	6
21.0	908.2864233542234	477663	0.0019015214143741999	6
22.0	849.2210796476146	475344	0.0017865400208009665	6
23.0	361.3102614479847	180233	0.0020046842778402665	6
24.0	624.4782878573251	353696	0.0017655791636244829	6
25.0	671.3311403065502	414990	0.00161770437915745	6
26.0	554.5934343574278	347071	0.0015979250192537774	6
27.0	470.92822742698	377354	0.0012479746535798747	6
28.0	637.8055144947409	389385	0.0016379817262984987	6
29.0	719.74831605843	533674	0.001348666631798495	6
30.0	664.445917512984	492935	0.0013479382018176515	6
31.0	718.9908732950317	651807	0.0011030732614025803	6
32.0	501.66190128218227	520938	0.0009629973265190527	6
0.0	529.1625619616257	445151	0.0011887259872753867	7
1.0	707.9305407630467	463654	0.0015268509292771047	7
2.0	566.6339821717837	470952	0.0012031671638973477	7
3.0	618.6320339189992	622830	0.000993259852478203	7
4.0	454.3767500599496	450155	0.0010093784364495553	7
5.0	619.2664816532164	521041	0.0011885177589733176	7
6.0	474.04675922969403	307685	0.0015406885588497782	7
7.0	527.6448869002943	395251	0.0013349615482321216	7
8.0	682.916456839753	405152	0.0016855808606146656	7
9.0	497.75882588521335	328794	0.001513892668008581	7
10.0	328.52801931483265	332590	0.000987786822558804	7
11.0	437.6695508056357	379945	0.0011519287023270097	7
12.0	401.7274858449804	343972	0.001167907521091776	7
13.0	703.4423197772201	412593	0.001704930330318789	7
14.0	1506.5550277179402	446212	0.003376321183020493	7
15.0	1085.5190408687447	442672	0.002452197204405846	7
16.0	1353.7789002770821	471312	0.0028723624696105387	7
17.0	878.305692719947	513053	0.0017119200018710485	7
18.0	763.7214378127418	417406	0.001829684857938654	7
19.0	1525.3318543002604	433407	0.0035193982891376014	7
20.0	812.348594680849	590187	0.001376425767902121	7
21.0	860.4025364266242	587450	0.001464639605799003	7
22.0	907.7225266192388	567736	0.0015988461655051622	7
23.0	869.9782990058126	582582	0.0014933147591340147	7
